is_80s,is_90s,is_y2k,has_3d_emblem,has_single_stitch,is_vtg,size_s,size_m,size_l,size_xl,has_location,is_event_tee,has_year,condition,sold_price
0,0,0,0,1,1,0,0,0,1,0,0,1,3,30.0
0,0,1,0,0,1,1,0,0,0,0,0,0,3,14.0
0,0,0,0,0,1,0,0,1,0,0,0,0,3,25.27
0,0,1,0,0,1,0,1,0,0,0,0,0,3,39.99
0,1,0,0,0,1,0,0,1,0,0,0,0,3,69.03
0,0,1,0,0,1,0,0,0,1,0,0,1,3,34.88
0,0,0,0,0,1,0,1,0,0,0,0,0,3,25.99
0,0,0,0,0,0,0,0,0,1,0,0,1,3,39.99
0,0,0,0,0,1,0,0,0,1,0,0,1,3,22.99
0,1,0,0,0,1,0,0,0,1,0,0,0,3,32.99
0,0,0,0,0,1,0,0,0,0,0,0,0,3,29.47
0,0,0,0,0,1,0,0,1,0,1,0,0,3,31.49
0,0,0,0,0,1,0,0,1,0,0,0,1,3,100.0
0,1,0,0,0,1,0,1,0,0,0,0,0,3,25.99
0,0,0,0,0,1,0,0,0,1,0,0,1,3,12.0
0,0,0,0,0,1,0,1,0,0,0,0,0,3,80.0
0,0,0,1,0,1,0,0,0,1,0,0,1,3,300.0
0,0,0,0,0,1,0,0,0,1,1,0,0,3,19.99
0,0,0,0,0,1,0,0,0,1,0,0,1,3,10.0
0,0,0,0,0,1,0,0,1,0,1,0,1,3,10.0
0,0,0,0,0,1,0,0,1,0,0,0,0,3,19.95
0,1,0,0,0,1,0,0,0,1,0,0,0,3,93.46
0,0,0,0,0,1,0,1,0,0,0,0,0,3,28.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,19.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,20.99
0,0,1,0,0,1,0,0,1,0,1,0,0,3,16.0
0,1,1,0,0,1,0,0,1,0,0,0,0,3,24.0
0,0,0,0,0,1,0,0,0,1,0,0,1,3,40.0
1,0,0,0,0,1,0,1,0,0,0,0,0,3,92.0
0,0,0,0,0,1,0,1,0,0,0,0,1,3,10.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,15.0
0,1,1,0,0,1,0,0,1,0,1,0,0,3,49.99
1,1,0,0,0,1,0,0,0,1,0,0,0,3,26.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,16.99
0,0,0,0,0,1,0,0,1,0,0,0,0,3,10.0
0,1,0,0,0,1,0,0,1,0,1,0,0,3,29.99
0,1,0,0,0,1,0,0,1,0,0,0,0,3,24.49
0,0,0,0,0,1,0,0,0,1,1,0,1,3,10.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,21.0
0,1,0,0,0,1,0,0,0,1,0,0,0,3,79.95
0,0,0,0,0,1,0,0,0,1,0,0,0,3,34.0
0,0,0,0,0,1,0,1,0,0,0,0,0,3,15.74
0,0,0,0,0,1,0,1,0,0,0,0,1,3,131.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,25.95
0,1,0,0,0,1,0,0,0,1,0,0,1,3,19.0
